,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2023-06-09,2023-06-09,2460104.7663185946,2460104.7454815367,2460104.725319972,2460105.0963090933,2460105.1171511947,2460105.1373133925
2023-06-10,2023-06-10,2460105.7666053837,2460105.7457471765,2460105.7255682545,2460106.096299439,2460106.117163224,2460106.137342766
2023-06-11,2023-06-11,2460106.766882734,2460106.7460051384,2460106.725810277,2460107.096304916,2460107.1171886516,2460107.1373841274
2023-06-12,2023-06-12,2460107.7671502666,2460107.7462550695,2460107.7260457086,2460108.0963254115,2460108.117227331,2460108.137437306
2023-06-13,2023-06-13,2460108.767407599,2460108.7464966103,2460108.726274211,2460109.0963607836,2460109.1172790895,2460109.137502104
2023-06-14,2023-06-14,2460109.7676543472,2460109.7467293963,2460109.7264954364,2460110.0964108617,2460110.117343728,2460110.137578301
2023-06-15,2023-06-15,2460110.767890129,2460110.746953062,2460110.7267090334,2460111.0964754494,2460111.1174210245,2460111.137664969
2023-06-16,2023-06-16,2460111.7681145635,2460111.74716724,2460111.726914649,2460112.0965543287,2460112.117510073,2460112.1377623924
2023-06-17,2023-06-17,2460112.7683272795,2460112.7473715693,2460112.72711193,2460113.0966472626,2460113.1176108317,2460113.137870348
2023-06-18,2023-06-18,2460113.7685289634,2460113.7475656923,2460113.7273005275,2460114.096754,2460114.1177233453,2460114.137988556
2023-06-19,2023-06-19,2460114.7687199214,2460114.747749262,2460114.7274800995,2460115.096874276,2460115.1178473355,2460115.138116729
2023-06-20,2023-06-20,2460115.768897909,2460115.7479219423,2460115.7276503122,2460116.097007814,2460116.117982518,2460116.1382545717
2023-06-21,2023-06-21,2460116.7690626,2460116.748083411,2460116.7278108443,2460117.0971543277,2460117.1181286005,2460117.138401787
2023-06-22,2023-06-22,2460117.769213687,2460117.7482333607,2460117.727961386,2460118.097313522,2460118.1182852853,2460118.138558072
2023-06-23,2023-06-23,2460118.7693508826,2460118.748372046,2460118.728101643,2460119.0974826217,2460119.118452269,2460119.1387231224
2023-06-24,2023-06-24,2460119.769473919,2460119.74849949,2460119.7282317025,2460120.0976635725,2460120.1186292428,2460120.1388966306
2023-06-25,2023-06-25,2460120.7695825514,2460120.748614452,2460120.72835157,2460121.097856086,2460121.118815894,2460121.139078287
2023-06-26,2023-06-26,2460121.7696765554,2460121.748716692,2460121.728460259,2460122.098059841,2460122.119011905,2460122.1392677813
2023-06-27,2023-06-27,2460122.7697557304,2460122.748805991,2460122.728557535,2460123.098274508,2460123.119216958,2460123.1394648026
